probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P5_4_4_0_14,Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int,base_42,0000002a,"[1, 1.3125, 5]","64:0020000000000001,INT:64:000000000000002a,incl]","opaque:RANGE[INT:64:0020000000000001,INT:64:000000000000002a,incl]"
P5_4_4_1_14,Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",Int,base_zero,00000000,"[1, 0.0, 0]","64:0020000000000001,INT:64:0000000000000000,incl]","opaque:RANGE[INT:64:0020000000000001,INT:64:0000000000000000,incl]"
P5_5_0_0_14,Long,base_42,000000000000002a,"[1, 1.3125, 5]",Long,base_42,000000000000002a,"[1, 1.3125, 5]","64:000000000000002a,INT:64:000000000000002a,incl]","opaque:RANGE[INT:64:000000000000002a,INT:64:000000000000002a,incl]"
P5_5_0_1_14,Long,base_42,000000000000002a,"[1, 1.3125, 5]",Long,base_zero,0000000000000000,"[1, 0.0, 0]","64:000000000000002a,INT:64:0000000000000000,incl]","opaque:RANGE[INT:64:000000000000002a,INT:64:0000000000000000,incl]"
P5_5_0_2_14,Long,base_42,000000000000002a,"[1, 1.3125, 5]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]","64:000000000000002a,INT:64:7fffffffffffffff,incl]","opaque:RANGE[INT:64:000000000000002a,INT:64:7fffffffffffffff,incl]"
P5_5_0_4_14,Long,base_42,000000000000002a,"[1, 1.3125, 5]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]","64:000000000000002a,INT:64:0020000000000001,incl]","opaque:RANGE[INT:64:000000000000002a,INT:64:0020000000000001,incl]"
P5_5_1_0_14,Long,base_zero,0000000000000000,"[1, 0.0, 0]",Long,base_42,000000000000002a,"[1, 1.3125, 5]","64:0000000000000000,INT:64:000000000000002a,incl]","opaque:RANGE[INT:64:0000000000000000,INT:64:000000000000002a,incl]"
P5_5_1_1_14,Long,base_zero,0000000000000000,"[1, 0.0, 0]",Long,base_zero,0000000000000000,"[1, 0.0, 0]","64:0000000000000000,INT:64:0000000000000000,incl]","opaque:RANGE[INT:64:0000000000000000,INT:64:0000000000000000,incl]"
P5_5_1_2_14,Long,base_zero,0000000000000000,"[1, 0.0, 0]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]","64:0000000000000000,INT:64:7fffffffffffffff,incl]","opaque:RANGE[INT:64:0000000000000000,INT:64:7fffffffffffffff,incl]"
P5_5_1_4_14,Long,base_zero,0000000000000000,"[1, 0.0, 0]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]","64:0000000000000000,INT:64:0020000000000001,incl]","opaque:RANGE[INT:64:0000000000000000,INT:64:0020000000000001,incl]"
