probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P8_10_base_lines_eacute_or,String,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,String (byte string via force_encoding),eacute,c3a9,t|c3a9|2|1|1,"""line one\nline two""",t|226c696e65206f6e655c6e6c696e652074776f22|20|20|20
P8_10_base_lines_escapes_or,String,base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,String (byte string via force_encoding),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,"""line one\nline two""",t|226c696e65206f6e655c6e6c696e652074776f22|20|20|20
P8_10_clef_base_empty_or,String,clef,f09d849e,t|f09d849e|4|1|1,String (byte string via force_encoding),base_empty,,t||0|0|0,"""𝄞""",t|22f09d849e22|6|3|3
P8_10_clef_base_hello_or,String,clef,f09d849e,t|f09d849e|4|1|1,String (byte string via force_encoding),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,"""𝄞""",t|22f09d849e22|6|3|3
P8_10_clef_base_lines_or,String,clef,f09d849e,t|f09d849e|4|1|1,String (byte string via force_encoding),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,"""𝄞""",t|22f09d849e22|6|3|3
P8_10_clef_clef_or,String,clef,f09d849e,t|f09d849e|4|1|1,String (byte string via force_encoding),clef,f09d849e,t|f09d849e|4|1|1,"""𝄞""",t|22f09d849e22|6|3|3
P8_10_clef_eacute_or,String,clef,f09d849e,t|f09d849e|4|1|1,String (byte string via force_encoding),eacute,c3a9,t|c3a9|2|1|1,"""𝄞""",t|22f09d849e22|6|3|3
P8_10_clef_escapes_or,String,clef,f09d849e,t|f09d849e|4|1|1,String (byte string via force_encoding),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,"""𝄞""",t|22f09d849e22|6|3|3
P8_10_eacute_base_empty_or,String,eacute,c3a9,t|c3a9|2|1|1,String (byte string via force_encoding),base_empty,,t||0|0|0,"""é""",t|22c3a922|4|3|3
P8_10_eacute_base_hello_or,String,eacute,c3a9,t|c3a9|2|1|1,String (byte string via force_encoding),base_hello,68656c6c6f,t|68656c6c6f|5|5|5,"""é""",t|22c3a922|4|3|3
P8_10_eacute_base_lines_or,String,eacute,c3a9,t|c3a9|2|1|1,String (byte string via force_encoding),base_lines,6c696e65206f6e650a6c696e652074776f,t|6c696e65206f6e650a6c696e652074776f|17|17|17,"""é""",t|22c3a922|4|3|3
P8_10_eacute_clef_or,String,eacute,c3a9,t|c3a9|2|1|1,String (byte string via force_encoding),clef,f09d849e,t|f09d849e|4|1|1,"""é""",t|22c3a922|4|3|3
P8_10_eacute_eacute_or,String,eacute,c3a9,t|c3a9|2|1|1,String (byte string via force_encoding),eacute,c3a9,t|c3a9|2|1|1,"""é""",t|22c3a922|4|3|3
P8_10_eacute_escapes_or,String,eacute,c3a9,t|c3a9|2|1|1,String (byte string via force_encoding),escapes,71756f74652022206261636b736c617368205c207461620968657265,t|71756f74652022206261636b736c617368205c207461620968657265|28|28|28,"""é""",t|22c3a922|4|3|3
